protein	gene	chrom	rates
NP_006748.1	TNNT3	11	data/rates/TNNT3_NP_006748.1.csv
NP_001005333.1	MAGED1	X	data/rates/MAGED1_NP_001005333.1.csv
NP_054767.3	MRTFB	16	data/rates/MKL2_NP_054767.3.csv
NP_001291260.1	PPFIA4	1	data/rates/PPFIA4_NP_001291260.1.csv
NP_776297.2	CLCN3	4	data/rates/CLCN3_NP_776297.2.csv
NP_620073.2	GNAO1	16	data/rates/GNAO1_NP_620073.2.csv
NP_055026.1	GABRP	5	data/rates/GABRP_NP_055026.1.csv
NP_001350867.1	DDX19B	16	data/rates/DDX19B_NP_001350867.1.csv
NP_056060.2	ANKS1A	6	data/rates/ANKS1A_NP_056060.2.csv
NP_001273343.1	TUBGCP4	15	data/rates/TUBGCP4_NP_001273343.1.csv
NP_008818.3	ZFP36L2	2	data/rates/ZFP36L2_NP_008818.3.csv
NP_005777.3	TSHZ1	18	data/rates/TSHZ1_NP_005777.3.csv
NP_004045.1	C3AR1	12	data/rates/C3AR1_NP_004045.1.csv
NP_060103.2	TENT5A	6	data/rates/TENT5A_NP_060103.2.csv
NP_055393.1	RHOD	11	data/rates/RHO_NP_055393.1.csv
NP_620711.3	DNER	2	data/rates/DNER_NP_620711.3.csv
NP_001269951.1	GMPR2	14	data/rates/GMPR2_NP_001269951.1.csv
NP_066268.1	GNAO1	16	data/rates/GNAO1_NP_066268.1.csv
NP_009100.2	PEMT	17	data/rates/PEMT_NP_009100.2.csv
NP_002426.1	MPI	15	data/rates/MPI_NP_002426.1.csv
NP_005415.1	TIE1	1	data/rates/TIE1_NP_005415.1.csv
NP_699177.2	BEND2	X	data/rates/BEND2_NP_699177.2.csv
NP_076421.2	DLK2	6	data/rates/DLK2_NP_076421.2.csv
NP_001292353.1	FMN2	1	data/rates/FMN2_NP_001292353.1.csv
NP_002569.1	PAK3	X	data/rates/PAK3_NP_002569.1.csv
NP_001274368.1	JADE1	4	data/rates/JADE1_NP_001274368.1.csv
NP_000217.2	KRT9	17	data/rates/KRT9_NP_000217.2.csv
NP_001633.1	APLP2	11	data/rates/APLP2_NP_001633.1.csv
NP_110420.3	FBXO38	5	data/rates/FBXO38_NP_110420.3.csv
NP_002878.2	RARS1	5	data/rates/RARS_NP_002878.2.csv
NP_001073969.1	VWC2L	2	data/rates/VWC2L_NP_001073969.1.csv
NP_001120717.1	LRRC8A	9	data/rates/LRRC8A_NP_001120717.1.csv
NP_003509.1	H2BC8	6	data/rates/HIST1H2BG_NP_003509.1.csv
NP_005313.1	H1-5	6	data/rates/HIST1H1B_NP_005313.1.csv
NP_005593.2	CLDN11	3	data/rates/CLDN11_NP_005593.2.csv
NP_000944.1	PTGDR	14	data/rates/PTGDR_NP_000944.1.csv
NP_001280654.1	TAF4B	18	data/rates/TAF4B_NP_001280654.1.csv
NP_653305.1	AIFM3	22	data/rates/AIFM3_NP_653305.1.csv
NP_722575.1	H1-8	3	data/rates/H1FOO_NP_722575.1.csv
NP_003300.1	TSPYL1	6	data/rates/TSPYL1_NP_003300.1.csv
NP_001358015.1	GRM8	7	data/rates/GRM8_NP_001358015.1.csv
NP_995308.1	FBXO38	5	data/rates/FBXO38_NP_995308.1.csv
NP_036536.2	ANP32D	12	data/rates/ANP32D_NP_036536.2.csv
NP_937879.1	ARHGEF11	1	data/rates/ARHGEF11_NP_937879.1.csv
NP_076950.1	DDX50	10	data/rates/DDX50_NP_076950.1.csv
NP_005631.1	TAF4B	18	data/rates/TAF4B_NP_005631.1.csv
NP_002637.3	PIK3C2B	1	data/rates/PIK3C2B_NP_002637.3.csv
NP_005441.1	NOG	17	data/rates/NOG_NP_005441.1.csv
NP_001024.1	RRM1	11	data/rates/RRM1_NP_001024.1.csv
NP_863651.1	APAF1	12	data/rates/APAF1_NP_863651.1.csv
NP_653300.2	ATP1A4	1	data/rates/ATP1A4_NP_653300.2.csv
NP_003627.1	KCNAB2	1	data/rates/KCNAB2_NP_003627.1.csv
NP_848128.1	LCE1C	1	data/rates/LCE1C_NP_848128.1.csv
NP_001129743.2	NKX2-6	8	data/rates/NKX2-6_NP_001129743.2.csv
NP_001017403.1	LGR6	1	data/rates/LGR6_NP_001017403.1.csv
NP_001185885.1	DCAF6	1	data/rates/DCAF6_NP_001185885.1.csv
NP_001138845.1	OTUD1	10	data/rates/OTUD1_NP_001138845.1.csv
NP_005083.3	TNFSF18	1	data/rates/TNFSF18_NP_005083.3.csv
NP_000027.3	AMPD1	1	data/rates/AMPD1_NP_000027.3.csv
